class,TFRC,CD26,MIG6,PI3KP110ALPHA,GAPDH,INPP4B,GSK3ALPHABETA,BRD4,NDRG1_pT346,FOXM1,NF2,HER3,ACVRL1,DUSP4,RAB25,JNK_pT183Y185,IGFBP2,PKCDELTA_pS664,X4EBP1
1,-0.56995,0.061089,-0.016057,-0.52401,-3.9351,-0.3148,-0.57872,-0.91447,0.87218,-0.22015,-0.39952,0.0017151,0.14578,0.010372,-0.20561,0.31834,-0.47945,0.1687,0.74123
1,-1.1549,0.17612,0.71603,0.0081621,-1.32,1.4567,-0.14424,-0.11121,2.2549,-0.96107,0.44212,-0.26083,-0.1272,0.23454,0.064633,-0.23493,1.4349,0.13314,-0.069574
1,-1.3962,-0.062116,0.5488,-0.55909,-1.8138,0.91732,-0.28659,0.0064585,1.8908,0.16204,0.27269,0.58725,-0.10357,0.064781,0.40924,-0.27881,-1.3347,-0.033372,0.18692
1,-0.02692,-0.03001,0.11425,-0.67623,-2.4262,0.49579,-0.21464,-0.78484,1.3374,-0.065055,0.5743,1.6659,-0.17611,-0.65706,-0.33799,0.7845,0.42563,-0.20937,-0.61891
1,-0.3359,0.69174,0.19018,-0.41679,-1.4409,0.34542,-0.3902,-0.12605,1.3572,-0.29838,0.11398,0.1577,0.25278,-0.80236,-0.07303,-0.25433,-1.0819,-0.010186,-0.65859
1,0.1722,0.54125,0.80635,-0.27888,-0.97542,3.2097,0.16424,-0.29535,-0.59731,0.030616,1.5007,0.72413,-0.27943,-1.4815,-0.51835,-0.20738,-1.1512,0.042911,0.23202
1,-0.4744,0.46499,0.012095,-0.23074,-1.4336,0.75462,0.0076701,-0.80991,2.282,-0.47599,-0.20263,0.48055,-0.28662,0.061698,-0.17877,-0.25767,-0.33019,0.075823,-0.57916
1,-0.89575,0.99002,0.19449,-0.42039,-2.9725,-0.25464,-0.44744,-0.66594,1.8185,-0.74513,-0.24733,0.41764,-0.0085902,-0.28274,0.19577,0.017392,-0.80559,-0.0041825,-0.22308
1,0.066283,-0.40412,0.79485,-0.26714,-3.3644,-0.005916,-0.2006,-0.54038,0.84003,-0.26233,0.33173,0.57207,-0.24511,-0.79065,-1.2671,-0.05141,-0.225,-0.052696,-0.080657
1,-0.23399,-0.069347,0.25473,-0.44282,-1.7297,0.20777,-0.11132,-0.98692,0.72787,-0.38709,0.22831,-0.069906,-0.057317,0.19425,0.86762,-0.027184,0.53228,-0.40273,-0.32165
1,-0.38486,0.535,0.25275,-0.28926,-1.1821,-0.48013,-0.23154,-0.58183,-0.035806,-0.54185,-0.29639,1.0743,-0.015047,-0.82309,1.4611,-0.14816,-1.074,-0.016447,-0.46276
1,-0.32933,-0.06775,0.58712,-0.2469,-1.4953,1.6641,-0.12125,-0.35724,0.41585,-0.69558,-0.065083,-0.12611,-0.066039,-0.65949,0.12732,-0.022827,0.36735,-0.18193,-0.26802
