class,TFRC,CD26,MIG6,GAPDH,INPP4B,FOXM1,NF2,ACVRL1,IGFBP2,X4EBP1
1,-0.56995,0.061089,-0.016057,-3.9351,-0.3148,-0.22015,-0.39952,0.14578,-0.47945,0.74123
1,-1.1549,0.17612,0.71603,-1.32,1.4567,-0.96107,0.44212,-0.1272,1.4349,-0.069574
1,-1.3962,-0.062116,0.5488,-1.8138,0.91732,0.16204,0.27269,-0.10357,-1.3347,0.18692
1,-0.02692,-0.03001,0.11425,-2.4262,0.49579,-0.065055,0.5743,-0.17611,0.42563,-0.61891
1,-0.3359,0.69174,0.19018,-1.4409,0.34542,-0.29838,0.11398,0.25278,-1.0819,-0.65859
1,0.1722,0.54125,0.80635,-0.97542,3.2097,0.030616,1.5007,-0.27943,-1.1512,0.23202
1,-0.4744,0.46499,0.012095,-1.4336,0.75462,-0.47599,-0.20263,-0.28662,-0.33019,-0.57916
1,-0.89575,0.99002,0.19449,-2.9725,-0.25464,-0.74513,-0.24733,-0.0085902,-0.80559,-0.22308
1,0.066283,-0.40412,0.79485,-3.3644,-0.005916,-0.26233,0.33173,-0.24511,-0.225,-0.080657
1,-0.23399,-0.069347,0.25473,-1.7297,0.20777,-0.38709,0.22831,-0.057317,0.53228,-0.32165
1,-0.38486,0.535,0.25275,-1.1821,-0.48013,-0.54185,-0.29639,-0.015047,-1.074,-0.46276
1,-0.32933,-0.06775,0.58712,-1.4953,1.6641,-0.69558,-0.065083,-0.066039,0.36735,-0.26802
1,-0.23818,0.092775,0.074016,-2.8971,0.8142,-0.55004,-0.031412,-0.15836,-0.25145,-0.43827
1,-0.36083,0.028635,0.5486,0.24391,2.2331,-0.90198,0.74672,-0.18711,-0.91783,-0.1526
1,-0.73041,-0.15959,0.020206,-2.6477,0.74153,-0.42587,-0.30893,-0.25567,1.9912,-0.1477
1,-0.47789,-0.071217,0.10441,-2.9571,1.2074,-0.5822,-0.41737,-0.11373,-0.81435,-0.3882
1,1.3579,0.073783,0.1282,-1.0119,2.6907,-0.29656,0.84417,-0.39148,-1.5169,0.9881
1,-1.1987,0.2238,-0.052732,-2.1665,-0.12509,-0.81418,-0.15522,-0.068123,0.13641,-0.55643
1,-0.75195,0.2933,1.5758,-2.5462,-0.086878,-0.4982,1.0384,-0.18241,-1.0553,-0.21767
1,-0.97577,-0.28265,-0.036144,-3.764,2.3645,-1.1813,0.11635,-0.11033,-0.95932,-0.85354
1,-0.65099,-0.07789,0.15018,-2.8488,0.58819,-0.66883,-0.19536,-0.18477,-0.3228,-0.13758
1,-0.33757,-0.14695,-0.032543,-5.1709,-0.095127,-0.18272,-0.1917,-0.11093,0.11326,0.50786
1,-0.14304,-0.30099,0.25916,-1.7234,-0.33051,0.40807,-0.20024,-0.11485,-0.47764,-0.383
1,-0.041391,-0.19017,-0.10448,-3.1565,1.7755,-0.55828,-0.72269,-0.17081,-0.62126,-0.0019911
1,-0.061722,0.63584,0.30681,-2.117,0.40095,-0.21526,0.80862,-0.14789,-0.21899,-0.32652
1,0.18698,-0.21834,0.18829,-3.8804,0.39252,-0.55,-0.46205,0.026933,-1.0196,-0.58967
1,-1.5192,-0.24401,-0.12963,-3.0715,2.4851,-1.1088,0.040107,0.02388,-0.87663,-0.50873
1,-0.050136,-0.031669,0.54877,-1.3975,1.213,-0.11696,0.050758,-0.22273,-0.17817,0.068767
1,-0.53036,0.0078018,0.44504,-3.3638,2.5847,-0.58424,0.10849,-0.25203,-0.45798,-0.065064
1,-0.63294,-0.2607,0.015935,-1.9308,0.39425,-0.62819,0.52819,-0.077384,-0.85191,-0.27127
1,-1.1557,0.31718,0.02717,-1.4045,0.24444,-0.2773,-0.7518,-0.043592,0.45553,0.81946
1,-1.5262,0.052502,0.090403,-3.8087,-0.52162,-0.37418,-0.96372,0.12224,0.22073,0.071928
1,-1.1172,-0.27408,-0.13747,-3.061,-0.20812,-0.46891,0.087636,-0.012408,0.76806,0.19849
1,-0.4109,-0.024915,0.21503,-2.5449,1.233,-0.32662,-0.29967,-0.018159,-0.54653,0.12544
1,-0.25975,-0.081539,-0.020801,-4.2549,0.47209,-0.58898,-1.0723,-0.14331,-1.4851,0.62318
1,-0.65803,-0.12036,0.039822,-3.17,0.42096,-0.3713,-0.31941,-0.10558,-0.53585,-1.2162
1,-0.070748,0.084268,0.46144,-3.4955,0.28832,-0.22085,0.17345,-0.22118,-1.0481,-0.31469
1,-1.2671,-0.16385,0.13498,-2.1881,1.0705,-0.049985,-0.078935,-0.17834,0.928,-0.26316
1,-0.71606,0.056531,-0.022689,-3.793,0.047525,-0.68657,-0.2369,-0.15651,0.20769,-0.4722
1,-0.72305,1.229,0.92602,-1.3292,1.6038,-0.25752,-0.24617,-0.15605,-1.1635,-0.053819
1,-1.4291,-0.026511,0.047797,-4.8562,0.15379,-0.81797,-0.308,-0.078416,-0.3112,-0.84008
1,1.0879,-0.12588,0.33047,-2.3553,1.3884,-0.64447,0.056438,-0.15455,-0.19728,0.24344
1,-0.59333,-0.15258,0.07437,-3.4712,0.43285,-0.58137,-0.15319,-0.18449,1.9492,-0.61865
1,-0.3114,0.059774,0.15909,-2.5136,-0.30586,-0.19279,0.50946,0.011918,-1.076,-0.35787
1,-0.8899,-0.4158,0.13556,-2.8907,0.16385,-0.49159,0.058986,-0.26662,-0.95639,-0.47788
1,-0.61889,0.3919,0.2091,-2.0875,0.19388,-0.89768,-0.035427,-0.11427,-0.66387,-0.55744
1,-0.0023392,-0.0034044,0.57207,-3.3588,1.1936,-0.36513,-0.49489,-0.091943,-0.69807,0.043963
1,0.1871,0.23931,0.63073,-0.16001,1.3358,-0.33993,0.42134,-0.12016,-1.7888,0.37838
1,-0.56281,-0.007563,0.53466,-2.8189,3.1997,-0.86537,0.70047,-0.23029,-0.46773,-0.39264
1,-1.1096,-0.0038784,-0.045663,-4.3926,-0.26348,-0.5514,-0.42532,0.0090162,0.92289,-0.33423
1,1.0416,-0.42868,-0.083754,0.24694,1.3475,0.17568,-0.089484,-0.24992,-0.35978,0.33469
1,-0.45151,-0.1842,-0.065833,-1.5726,0.36815,-0.73422,0.095064,-0.094947,1.9213,-0.46865
